geography,abbrev,2022
Canada,CA,"38,873,253"
Newfoundland and Labrador,NL,"530,628.25"
Prince Edward Island,PE,"166,398.25"
Nova Scotia,NS,"1,019,971.5"
New Brunswick,NB,"806,255.5"
Quebec,QC,"8,657,659.75"
Ontario,ON,"15,127,770.75"
Manitoba,MB,"1,410,794.25"
Saskatchewan,SK,"1,177,903.75"
Alberta,AB,"4,505,411.25"
British Columbia,BC,"5,341,612.25"
Yukon,YT,"43,621"
Northwest Territories,NT,"44,676"
Nunavut,NU,"40,550.5"
"How to cite: Statistics Canada. Table 17-10-0009-01  Population estimates, quarterly",,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901,,
