tag_code,report_season,location,country,abbrev
AACT584,2022,El Rosario,Mexico,MIC
AAHP562,2022,El Rosario,Mexico,MIC
AANY296,2022,El Rosario,Mexico,MIC
AAPW156,2022,El Rosario,Mexico,MIC
AARG636,2022,Cerro Pelon,Mexico,MEX
ABJU326,2022,El Rosario,Mexico,MIC
ABMG468,2022,El Rosario,Mexico,MIC
ABPA067,2022,El Rosario,Mexico,MIC
ABPM129,2022,El Rosario,Mexico,MIC
ABPT560,2022,El Rosario,Mexico,MIC
ABRL784,2022,El Rosario,Mexico,MIC
ABUC953,2022,El Rosario,Mexico,MIC
ABUL045,2022,El Rosario,Mexico,MIC
ABUR349,2022,El Rosario,Mexico,MIC
ABWR816,2022,Cerro Pelon,Mexico,MEX
ABWS147,2022,El Rosario,Mexico,MIC
ABXU433,2022,El Rosario,Mexico,MIC
ABXX245,2022,El Rosario,Mexico,MIC
ABXX742,2022,El Rosario,Mexico,MIC
ABYL554,2022,El Rosario,Mexico,MIC
ACAU249,2022,El Rosario,Mexico,MIC
ACBW732,2022,El Rosario,Mexico,MIC
ACBZ334,2022,El Rosario,Mexico,MIC
ACEE730,2022,El Rosario,Mexico,MIC
ACEG589,2022,El Rosario,Mexico,MIC
ACGG335,2022,El Rosario,Mexico,MIC
ACJG694,2022,El Rosario,Mexico,MIC
ACJY489,2022,El Rosario,Mexico,MIC
ACJZ048,2022,El Rosario,Mexico,MIC
ACLA307,2022,El Rosario,Mexico,MIC
ACLB013,2022,El Rosario,Mexico,MIC
ACLS033,2022,El Rosario,Mexico,MIC
ACLZ745,2022,El Rosario,Mexico,MIC
ACNB508,2022,El Rosario,Mexico,MIC
ACPG693,2022,El Rosario,Mexico,MIC
ACSR743,2022,El Rosario,Mexico,MIC
ACSW106,2022,El Rosario,Mexico,MIC
ACSZ304,2022,El Rosario,Mexico,MIC
ACTA327,2022,El Rosario,Mexico,MIC
ACTG764,2022,El Rosario,Mexico,MIC
ACTH388,2022,El Rosario,Mexico,MIC
ACUG117,2022,El Rosario,Mexico,MIC
ACUL421,2022,El Rosario,Mexico,MIC
ACUW493,2022,El Rosario,Mexico,MIC
ACWG235,2022,El Rosario,Mexico,MIC
ACWG739,2022,El Rosario,Mexico,MIC
ACWH930,2022,Cerro Pelon,Mexico,MEX
ACWN856,2022,Cerro Pelon,Mexico,MEX
ACWW652,2022,El Rosario,Mexico,MIC
ACWW701,2022,El Rosario,Mexico,MIC
ACWX857,2022,El Rosario,Mexico,MIC
ACWZ456,2022,El Rosario,Mexico,MIC
ACXB534,2022,Cerro Pelon,Mexico,MEX
ACXC138,2022,El Rosario,Mexico,MIC
ACXC970,2022,El Rosario,Mexico,MIC
ACXG324,2022,El Rosario,Mexico,MIC
ACXH571,2022,El Rosario,Mexico,MIC
ACXL143,2022,El Rosario,Mexico,MIC
ACXL768,2022,El Rosario,Mexico,MIC
ACXN927,2022,El Rosario,Mexico,MIC
ACXS997,2022,Las Palmas,Mexico,MEX
ACXU107,2022,El Rosario,Mexico,MIC
ACXW015,2022,El Rosario,Mexico,MIC
ACXW309,2022,El Rosario,Mexico,MIC
ACXX466,2022,El Rosario,Mexico,MIC
ACXY638,2022,El Rosario,Mexico,MIC
ACXY805,2022,Cerro Pelon,Mexico,MEX
ACYJ405,2022,El Rosario,Mexico,MIC
ACYX804,2022,El Rosario,Mexico,MIC
ACYY387,2022,El Rosario,Mexico,MIC
ACYZ411,2022,El Rosario,Mexico,MIC
ACZA162,2022,El Rosario,Mexico,MIC
AEAM012,2022,El Rosario,Mexico,MIC
AEAM219,2022,El Rosario,Mexico,MIC
AEBP146,2022,El Rosario,Mexico,MIC
AEBP473,2022,Cerro Pelon,Mexico,MEX
AEBP562,2022,El Rosario,Mexico,MIC
AEBW881,2022,Cerro Pelon,Mexico,MEX
AEBW979,2022,El Rosario,Mexico,MIC
AECA906,2022,Cerro Pelon,Mexico,MEX
AECB492,2022,El Rosario,Mexico,MIC
AECG681,2022,El Rosario,Mexico,MIC
AECJ433,2022,El Rosario,Mexico,MIC
AECJ704,2022,El Rosario,Mexico,MIC
AECR369,2022,El Rosario,Mexico,MIC
AECT304,2022,El Rosario,Mexico,MIC
AECU102,2022,El Rosario,Mexico,MIC
AECU456,2022,Cerro Pelon,Mexico,MEX
AECW069,2022,El Rosario,Mexico,MIC
AECY948,2022,El Rosario,Mexico,MIC
AEEA821,2022,El Rosario,Mexico,MIC
AEEE273,2022,El Rosario,Mexico,MIC
AEEG729,2022,El Rosario,Mexico,MIC
AEEH069,2022,El Rosario,Mexico,MIC
AEEL334,2022,Cerro Pelon,Mexico,MEX
AEEL936,2022,El Rosario,Mexico,MIC
AEER760,2022,El Rosario,Mexico,MIC
AEET835,2022,El Rosario,Mexico,MIC
AEGC131,2022,El Rosario,Mexico,MIC
AEGW478,2022,El Rosario,Mexico,MIC
AEHU735,2022,El Rosario,Mexico,MIC
AEJJ562,2022,El Rosario,Mexico,MIC
AEJT237,2022,El Rosario,Mexico,MIC
AEJT601,2022,El Rosario,Mexico,MIC
AEJW010,2022,El Rosario,Mexico,MIC
AEJW383,2022,El Rosario,Mexico,MIC
AELG018,2022,Cerro Pelon,Mexico,MEX
AELL809,2022,El Rosario,Mexico,MIC
AELX135,2022,Cerro Pelon,Mexico,MEX
AEMB114,2022,El Rosario,Mexico,MIC
AEMC511,2022,El Rosario,Mexico,MIC
AEMC623,2022,El Rosario,Mexico,MIC
AEME909,2022,El Rosario,Mexico,MIC
AEMG347,2022,El Rosario,Mexico,MIC
AEMJ311,2022,El Rosario,Mexico,MIC
AEMN206,2022,El Rosario,Mexico,MIC
AEMP319,2022,El Rosario,Mexico,MIC
AEMP901,2022,El Rosario,Mexico,MIC
AEMR675,2022,El Rosario,Mexico,MIC
AEMT030,2022,El Rosario,Mexico,MIC
AEMU158,2022,El Rosario,Mexico,MIC
AEMU487,2022,El Rosario,Mexico,MIC
AEMW943,2022,El Rosario,Mexico,MIC
AEMX280,2022,El Rosario,Mexico,MIC
AENT042,2022,El Rosario,Mexico,MIC
AENU700,2022,Cerro Pelon,Mexico,MEX
AENY846,2022,Sierra Chincua,Mexico,MIC
AEPC600,2022,Cerro Pelon,Mexico,MEX
AEPJ749,2022,El Rosario,Mexico,MIC
AEPZ186,2022,El Rosario,Mexico,MIC
AERB205,2022,El Rosario,Mexico,MIC
AERS855,2022,El Rosario,Mexico,MIC
AERS971,2022,El Rosario,Mexico,MIC
AERU176,2022,El Rosario,Mexico,MIC
AERU218,2022,El Rosario,Mexico,MIC
AERX051,2022,El Rosario,Mexico,MIC
AERX221,2022,El Rosario,Mexico,MIC
AERY079,2022,El Rosario,Mexico,MIC
AERY437,2022,El Rosario,Mexico,MIC
AESH737,2022,Cerro Pelon,Mexico,MEX
AESJ706,2022,El Rosario,Mexico,MIC
AESL660,2022,El Rosario,Mexico,MIC
AETC250,2022,Sierra Chincua,Mexico,MIC
AETH681,2022,El Rosario,Mexico,MIC
AETJ142,2022,El Rosario,Mexico,MIC
AETS313,2022,Cerro Pelon,Mexico,MEX
AEUE792,2022,Cerro Pelon,Mexico,MEX
AEUH847,2022,El Rosario,Mexico,MIC
AEUJ166,2022,El Rosario,Mexico,MIC
AEUL002,2022,El Rosario,Mexico,MIC
