tag_code,date,city_location,state_province,zip_pc,country,first_name,notes
AAAF203,2022-11-07T00:00:00Z,Killeen,TX,,USA,Paul,This monarch was with 3 other I tagged monarchs.
AACW276,2022-08-29T00:00:00Z,Duluth,MN,,USA,Breanna,Spotted on flowers in local park that has purposely planted pollinator flower areas
AACW276,2022-08-31T00:00:00Z,Duluth,MN,,USA,Deanna,"A Zen garden area in the downtown area on a Hydrangea bush, beautiful!!"
AACW276,2022-09-05T00:00:00Z,Duluth,MN,,USA,Kim,On a native plant garden near Canal Brewing Company in Duluth. Was seen nectaring.
AANR121,2022-08-25T00:00:00Z,Burton,MI,,USA,Gregory,Formar Nature Preserve in Burton MI.
AANR121,2022-08-25T00:00:00Z,Burton,MI,,USA,Jessi,It was within one mile of the possible tagging site.
ABEW234,2022-10-03T00:00:00Z,Golden Valley,MN,,USA,Jason,NA
ABGH686,2022-08-26T00:00:00Z,Bedford,MA,,USA,Hannah,I found this beautiful monarch on my butterfly bush in my backyard. looked very healthy and was traveling with a monarch friend that wasn’t tagged!
ABGZ273,2022-10-11T00:00:00Z,Manhattan,NY,,USA,Robert,NA
ABPB631,2022-10-29T00:00:00Z,Ottawa,ON,,CAN,Chantal,"She seemed quite drowsy initially, brought her inside and seem to recover. After warming up she flew away. We have had freezing temperatures at night."
ABRC524,2022-08-12T00:00:00Z,Sudbury,ON,,CAN,Maddy,"Found it in my driveway, got a GREAT picture"
ABUY809,2022-08-18T00:00:00Z,Erie,PA,,USA,Kait,"Found in the children's garden area of the Erie Zoo , Erie PA. Butterfly had been deceased for hours if not days."
ABZY163,2022-10-31T00:00:00Z,Blythewood,SC,,USA,Sharleen,The Monarch was feeding on flowers on my porch.
ACCA423,2022-08-24T00:00:00Z,Sea Cliff,NY,,USA,Elizabeth,Found flying in our garden amongst the milkweed and butterfly bush.
ACEY557,2022-08-19T00:00:00Z,Fair Harbor Fire Island,NY,,USA,Madeline,Hovering on a lantana plant outside a restaurant on Fire Island
ACGE368,2022-08-12T00:00:00Z,Rochester Hills,MI,,USA,Ozzy,The Monarch was found in the backyard of the home listed as address (not my house)
ACGR806,2022-09-24T00:00:00Z,Erie,PA,,USA,Jane,Nectaring on a butterfly bush in my back yard
ACHG475,2022-08-20T00:00:00Z,Fort Wayne,IN,,USA,Jacalyn,On my zinnias in my back yard
ACJY494,2022-10-10T00:00:00Z,Oklahoma City,OK,,USA,Sierra,Found at botanical garden
ACKP213,2022-10-16T00:00:00Z,Fitchburg,WI,,USA,Mark,At home on my Zinnias
ACNU747,2022-10-10T00:00:00Z,Arthur City,TX,,USA,Tamera,NA
ACPU071,2022-09-04T00:00:00Z,Bloomington,MN,,USA,Tracie,"MN Wildlife Refuge, Bloomington, MN"
ACRT666,2022-09-13T00:00:00Z,Grosse pointe farms,MI,,USA,Jacqueline,On my zinnias
ACSM212,2022-12-23T00:00:00Z,Edisto Beach,SC,,USA,Karen,It was clinging to a screen porch.
ACUJ979,2022-09-16T00:00:00Z,Short Hills,NJ,,USA,Happy,NA
ACWJ934,2022-10-22T00:00:00Z,"San Antonio,",TX,,USA,Keith,NA
ACXA470,2022-10-24T00:00:00Z,Milwaukee,WI,,USA,Ana Alicia,NA
AEAR283,2022-09-24T00:00:00Z,Oak beach,NY,,USA,shaun,Saw along greenway on Bay side of Ocean parkway across from east end of oak beach.
AEBE222,2022-10-15T00:00:00Z,Stone Harbor,NJ,,USA,Michael,"Found at Stone Harbor point, just off the beach"
AEBU900,2022-09-06T00:00:00Z,Saint Paul,MN,,USA,Moraghan,NA
AEBW305,2022-10-02T00:00:00Z,Minneapolis,MN,,USA,Meaza,NA
AEBW305,2022-10-03T00:00:00Z,Minneapolis,MN,,USA,Lori,"Feeding on asters in my yard, seems late to still be here but it’s been warm."
AEBW306,2022-10-04T00:00:00Z,Minneapolis,MN,,USA,Karen,Been at my house 3 day so far. Loves my Zinnias.
AEBW387,2022-10-04T00:00:00Z,White Bear Lake,MN,,USA,Andrea,NA
AEGX757,2022-09-04T00:00:00Z,Ellicott City,MD,,USA,Janice,The monarch was located in a sunflower field
AEHA936,2022-10-13T00:00:00Z,King William,VA,,USA,Mary,Found on a yellow butterfly bush in my yard.
AEHC777,2022-08-04T00:00:00Z,Herndon,VA,,USA,MONA,NA
AELA048,2022-09-07T00:00:00Z,Coshocton,OH,,USA,Cathy,The monarch was at a community garden that has been planted and cared for by our local garden club.
AERW798,2022-10-20T00:00:00Z,Fort Worth,TX,,USA,Amanda,Found in our backyard on our milkweed plants. Very active.
