state,pop,state
.Alabama,"5,076,868",Alabama
.Alaska,"733,659",Alaska
.Arizona,"7,370,065",Arizona
.Arkansas,"3,047,429",Arkansas
.California,"39,125,347",California
.Colorado,"5,853,355",Colorado
.Connecticut,"3,618,707",Connecticut
.Delaware,"1,020,279",Delaware
.District of Columbia,"674,501",District of Columbia
.Florida,"22,413,989",Florida
.Georgia,"10,929,992",Georgia
.Hawaii,"1,437,812",Hawaii
.Idaho,"1,942,951",Idaho
.Illinois,"12,609,577",Illinois
.Indiana,"6,841,491",Indiana
.Iowa,"3,201,890",Iowa
.Kansas,"2,938,034",Kansas
.Kentucky,"4,521,238",Kentucky
.Louisiana,"4,600,892",Louisiana
.Maine,"1,391,585",Maine
.Maryland,"6,183,257",Maryland
.Massachusetts,"7,025,465",Massachusetts
.Michigan,"10,043,906",Michigan
.Minnesota,"5,727,565",Minnesota
.Mississippi,"2,941,237",Mississippi
.Missouri,"6,179,285",Missouri
.Montana,"1,121,533",Montana
.Nebraska,"1,972,595",Nebraska
.Nevada,"3,177,672",Nevada
.New Hampshire,"1,396,647",New Hampshire
.New Jersey,"9,298,402",New Jersey
.New Mexico,"2,112,859",New Mexico
.New York,"19,713,025",New York
.North Carolina,"10,705,768",North Carolina
.North Dakota,"780,191",North Dakota
.Ohio,"11,764,950",Ohio
.Oklahoma,"4,025,327",Oklahoma
.Oregon,"4,245,964",Oregon
.Pennsylvania,"12,984,655",Pennsylvania
.Rhode Island,"1,098,275",Rhode Island
.South Carolina,"5,288,957",South Carolina
.South Dakota,"909,156",South Dakota
.Tennessee,"7,063,325",Tennessee
.Texas,"30,118,002",Texas
.Utah,"3,393,928",Utah
.Vermont,"647,614",Vermont
.Virginia,"8,681,038",Virginia
.Washington,"7,786,828",Washington
.West Virginia,"1,774,003",West Virginia
.Wisconsin,"5,903,472",Wisconsin
.Wyoming,"581,742",Wyoming
,,
.Puerto Rico,"3,220,148",Puerto Rico
,,
