resort,acres,vertical,trails,lifts,lat,long
Killington Resort,1509,3050,155,22,43.611201199999996,-72.7925911
Smugglers' Notch Resort,1000,2610,78,8,44.5726967,-72.7676473
Mad River Glen***,815,2037,45,4,44.1975661,-72.9238018
Stratton Mountain Resort,670,2003,97,11,43.1026647,-72.9048371
Okemo Mountain Resort,654,2200,120,19,43.402299,-72.7172557
Middlebury Snow Bowl,600,1000,17,3,43.9344876,-72.9569416
Mount Snow,588,1700,107,20,42.9592534,-72.9237615
Sugarbush Resort,578,2650,111,16,44.1515207,-72.9084672
Stowe Mountain Resort,485,2360,116,13,44.5297676,-72.7936843
Pico Mountain,468,1967,57,7,43.6659003,-74.8729465
